"anID","nAnimals","simulation","area_50p","area_75p","area_90p","area_95p","area_99p","allDuration","allMigs","allAnimalYrs","newAnimalDuration","newAnimalMigs","projName","UD"
"1",178,39,662,1317,2009,2398,3003,NA,NA,NA,NA,NA,"sim2","winter"
"1",189,50,709,1408,2144,2563,3194,NA,NA,NA,NA,NA,"sim2","winter"
"1",157,48,694,1356,2077,2499,3201,NA,NA,NA,NA,NA,"sim2","winter"
"1",167,79,679,1372,2093,2495,3097,NA,NA,NA,NA,NA,"sim2","winter"
"1",69,26,512,1066,1658,1982,2488,NA,NA,NA,NA,NA,"sim2","winter"
"1",20,21,285,563,848,1007,1275,NA,NA,NA,NA,NA,"sim2","winter"
"1",75,75,618,1226,1853,2203,2757,NA,NA,NA,NA,NA,"sim2","winter"
"1",209,72,715,1449,2247,2715,3464,NA,NA,NA,NA,NA,"sim2","winter"
"1",152,53,694,1404,2135,2560,3233,NA,NA,NA,NA,NA,"sim2","winter"
"1",140,46,618,1274,1951,2364,3010,NA,NA,NA,NA,NA,"sim2","winter"
"1",20,93,257,548,863,1042,1360,NA,NA,NA,NA,NA,"sim2","winter"
"1",68,62,486,1007,1557,1856,2335,NA,NA,NA,NA,NA,"sim2","winter"
"1",38,52,418,812,1205,1418,1746,NA,NA,NA,NA,NA,"sim2","winter"
"1",109,27,615,1240,1924,2316,2939,NA,NA,NA,NA,NA,"sim2","winter"
"1",126,28,617,1285,2013,2438,3107,NA,NA,NA,NA,NA,"sim2","winter"
"1",14,15,262,527,811,985,1301,NA,NA,NA,NA,NA,"sim2","winter"
"1",62,10,614,1215,1839,2184,2722,NA,NA,NA,NA,NA,"sim2","winter"
"1",23,85,297,585,894,1085,1423,NA,NA,NA,NA,NA,"sim2","winter"
"1",231,76,752,1503,2324,2830,3665,NA,NA,NA,NA,NA,"sim2","winter"
"1",221,60,725,1457,2275,2764,3573,NA,NA,NA,NA,NA,"sim2","winter"
"1",98,3,556,1104,1732,2103,2680,NA,NA,NA,NA,NA,"sim2","winter"
"1",200,77,728,1458,2206,2644,3362,NA,NA,NA,NA,NA,"sim2","winter"
"1",141,73,699,1392,2150,2594,3250,NA,NA,NA,NA,NA,"sim2","winter"
"1",41,54,364,776,1222,1474,1888,NA,NA,NA,NA,NA,"sim2","winter"
"1",210,58,713,1475,2323,2823,3627,NA,NA,NA,NA,NA,"sim2","winter"
"1",201,98,693,1366,2086,2500,3160,NA,NA,NA,NA,NA,"sim2","winter"
"1",155,51,690,1409,2190,2652,3362,NA,NA,NA,NA,NA,"sim2","winter"
"1",133,4,626,1288,2026,2460,3124,NA,NA,NA,NA,NA,"sim2","winter"
"1",247,71,755,1501,2327,2827,3669,NA,NA,NA,NA,NA,"sim2","winter"
"1",96,24,573,1175,1845,2240,2867,NA,NA,NA,NA,NA,"sim2","winter"
"1",188,13,717,1434,2215,2682,3427,NA,NA,NA,NA,NA,"sim2","winter"
"1",183,5,702,1441,2233,2698,3414,NA,NA,NA,NA,NA,"sim2","winter"
